,name,rating,image_link,packages,link,description,Start,End,placeCodes
10,"Kodaikanal, Tamil Nadu",4.4,https://www.holidify.com/images/bgImages/KODAIKANAL.jpg,7709.0,https://www.holidify.com/places/kodaikanal/," Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. When you think of Kodaikanal, you think of a wonderful climate, cliffs covered in mist, cloud-capped mountains and beautiful lakes and valleys, and once you visit this hill station, you will find that every bit of what you have imagined it to be is true. Nestled amidst the rolling slopes of the Palani Hills in Tamil Nadu, Kodaikanal stands at an altitude of 7200 feet above sea level and has a cool, pleasant climate all year round. Kodaikanal means the gift of the forests. ",9,5,KODAIKANAL
11,"Munnar, Kerala",4.5,https://www.holidify.com/images/bgImages/MUNNAR.jpg,4498.0,https://www.holidify.com/places/munnar/," The idyllic hill station Munnar - famous for its tea estates, exotic lush greenery and craggy peaks, is located in the Western Ghats, in the state of Kerala. It serves as the commercial centre for some of the world's largest tea estates. In addition, Munnar has many protected areas which are home to endemic and highly endangered species like the Nilgiri Thar and the Neelakurinji. ",9,5,MUNNAR
12,"Nainital, Uttarakhand",4.3,https://www.holidify.com/images/bgImages/NAINITAL.jpg,9000.0,https://www.holidify.com/places/nainital/," One of the most beautiful tourist destinations in Uttarakhand, Nainital, which is nestled amidst the Kumaon Hills, is a quaint hill station built around a uniquely shaped lake known as the 'Naini Lake' (thus contributing to its name Nainital). Also famously known as 'City of Lakes,' Nainital abounds in natural beauty, with its snow-capped hills and tranquil lakes lending it a nostalgic charm of its own. Situated at an altitude of 1938 km above sea level, Nainital has a pleasant climate all year round, and can rightfully be called a picturesque paradise for all travel lovers. ",1,12,NAINITAL
13,"Coorg, Karnataka",4.2,https://www.holidify.com/images/bgImages/COORG.jpg,7709.0,https://www.holidify.com/places/coorg/," Located amidst imposing mountains in Karnataka with a perpetually misty landscape, Coorg is the place to be for all nature lovers.  This popular coffee producing hill station is not only popular for its beautiful green hills and the streams cutting right through them. It also stands as a popular destination because of its culture and people. The Kodavas, a local clan specialising in martial arts, are especially notable for their keen hospitality.  ",10,3,COORG
14,"Gulmarg, Jammu & Kashmir",4.1,https://www.holidify.com/images/bgImages/GULMARG.jpg,11000.0,https://www.holidify.com/places/gulmarg/," Situated at an altitude of 2730 m above sea level, Gulmarg is surrounded by snow covered mountains, lush green meadows, deep ravines, evergreen forested hills and valleys. ",10,6,GULMARG
15,"Kasol, Himachal Pradesh",4.2,https://www.holidify.com/images/bgImages/KASOL.jpg,6500.0,https://www.holidify.com/places/kasol/," A small village in Himachal situated along the banks of the river Parvati, Kasol is a tourist attraction that is rapidly gaining fame as a very popular hub for trekkers, backpackers, and nature lovers. Commonly known as the Amsterdam of India, this quaint little village is resplendent in natural scenic beauty, and is one of the few places in the country that is yet to be ruined by urbanization and commercialization. Situated between the towns of Bhuntar and Manikaran, Kasol might seem like a plain, nondescript village from the outside, but it is one of the best places in the country to just sit back and chill in the lap of nature. ",10,6,KASOL
16,"Mahabaleshwar, Maharashtra",4.0,https://www.holidify.com/images/tooltipImages/MAHABALESHWAR.jpg,7709.0,https://www.holidify.com/places/mahabaleshwar/," A hill town in Western Ghats, apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks. ",10,6,MAHABALESHWAR
17,"Lonavala, Maharashtra",4.0,https://www.holidify.com/images/bgImages/LONAVALA.jpg,7709.0,https://www.holidify.com/places/lonavala/," Popular hill station close to Pune and Mumbai, Lonavla is the place to be during monsoons. With lots of waterfalls, lakes and hills around, Lonavala is frequented by all sorts of people, especially hikers and trekkers. ",1,12,LONAVALA
18,"Mount Abu, Rajasthan",4.1,https://www.holidify.com/images/bgImages/MOUNT-ABU.jpg,5207.0,https://www.holidify.com/places/mount-abu/," The only hill station of Rajasthan, its cool atmosphere and lush green surroundings make it a major tourist spot within the state. The most important attraction, however, are undoubtedly the Dilwara temples, which is one of the most stunning piece of architecture in the country. If you are a history or architecture buff, this is one of the places you should absolutely not miss out in India. ",10,3,MOUNT-ABU
19,"Pachmarhi, Madhya Pradesh",3.9,https://www.holidify.com/images/bgImages/PACHMARHI.jpg,599.0,https://www.holidify.com/places/pachmarhi/," The only hill station in Madhya Pradesh, Pachmarhi is often known as the queen of the Satpura ranges. ",1,12,PACHMARHI
20,"Dalhousie, Himachal Pradesh",4.0,https://www.holidify.com/images/tooltipImages/DALHOUSIE.jpg,9000.0,https://www.holidify.com/places/dalhousie/," The tiny tinsel town Dalhousie tucked away in the lap of Himachal Pradesh is a piece of paradise for all the travellers. It boasts of old world charm, mesmerising natural landscape, pine-clad valleys, flower bedecked meadows, fast flowing rivers, magnificent misty mountains and some of the most spectacular views in the world. The air smells of the Scottish and Victorian architecture and the ambience reminds you of the pristine British flavours. ",1,12,DALHOUSIE
21,"Rishikesh, Uttarakhand",4.3,https://www.holidify.com/images/bgImages/RISHIKESH.jpg,6396.0,https://www.holidify.com/places/rishikesh/," Situated along the convergence of Ganga and Chandrabhaga, Rishikesh on the foothills of Himalayas is the hub of many ancient temples, popular cafes, yoga ashrams and adventure sports.Rishikesh is the most beautiful blend of spiritual and adrenaline pumping experiences. With Whitewater Rafting industry growing and a number of camping and cafe spots springing up, Rishikesh has grown immensely as a favourite, catering to people with different needs. ",1,12,RISHIKESH
22,"Panchgani, Maharashtra",3.6,https://www.holidify.com/images/bgImages/PANCHGANI.jpg,7709.0,https://www.holidify.com/places/panchgani/," Deriving its name from the five hills surrounding it, Panchgani is a popular hill station near Mahabaleshwar, famous for its various sunset/sunrise points and scenic valley view. ",9,5,PANCHGANI
23,"Matheran, Maharashtra",4.3,https://www.holidify.com/images/bgImages/MATHERAN.jpg,7709.0,https://www.holidify.com/places/matheran/," Nestled amidst the Sahyadri range on the Western Ghats, Matheran is a cosy little hill station that stands at an elevation of 2600 feet above sea level, and is just 100 kilometres away from Mumbai, making it the perfect weekend getaway. With its name literally translating to ?overhead forest?, Matheran is the smallest hill station in all of India, but it is extremely popular in terms of tourists looking for a short trip amid spectacular vistas and serenity. ",1,12,MATHERAN
24,"Saputara, Gujarat",3.6,https://www.holidify.com/images/bgImages/SAPUTARA.jpg,7709.0,https://www.holidify.com/places/saputara/," Snuggled in the Sahyadris or the Western Ghats, Saputara is a quaint little hill station in the Dang district of Gujarat. Popular for lush green forests, undulating mountains, dazzling waterfalls, dreamy winding roads, livid landscapes and plenty of charming cubbyholes to spend time with your loved ones, the town is the first favourite among tourists. It is located at a height of 875 metres above sea level and is a perfect getaway for eco-lovers, wildlife enthusiasts and people who love adventure sports. ",3,11,SAPUTARA
25,"Patnitop, Jammu & Kashmir",3.5,https://www.holidify.com/images/bgImages/PATNITOP.jpg,7000.0,https://www.holidify.com/places/patnitop/," With endless meadows and panoramic views of the snow capped peaks of the Himalayas, Patnitop is a perfect place to experience nature at its picturesque best and widest. ",1,12,PATNITOP
26,"Spiti, Himachal Pradesh",4.5,https://www.holidify.com/images/bgImages/SPITI.jpg,8000.0,https://www.holidify.com/places/spiti/," Long winding roads and picturesque valleys presenting glimpses of cold deserts and snow-crowned mountains, with intermittent greenery and picture-perfect villages welcome you when you set foot into Spiti Valley. Bordered on all sides by the Himalayas, Spiti Valley, located in Himachal Pradesh, has an altitude of 12,500 feet above sea level, and gets around 250 days of sunshine in the year, making it one of the coldest places in the country. With the thick Himalayan snow cutting Spiti off from the rest of the country for around 6 months a year, the summer months are the only time Spiti is directly accessible via motorway. ",5,10,SPITI
27,"Khajjiar, Himachal Pradesh",4.3,https://www.holidify.com/images/bgImages/KHAJJIAR.jpg,15000.0,https://www.holidify.com/places/khajjiar/," Often referred to as 'mini-Switzerland of India', Khajjiar is a small town near Dalhousie which provides tourists a unique combination of forests, lakes and pastures. ",1,12,KHAJJIAR
28,"Dharamsala, Himachal Pradesh",3.5,https://www.holidify.com/images/cmsuploads/compressed/DSCN6466_20180224234705.JPG,9000.0,https://www.holidify.com/places/dharamsala/, Dharamsala is famed as the holy residence of the Dalai Lama and houses the Tibetan monk in exile. Dharamsala is located in Kangra district at a distance of 18km fro Kangra City. The city is distinctively separated as upper and lower divisions with different altitudes. The lower division is the Dharamsala town itself whereas the upper division is popularly known as Mcleodganj. ,10,6,DHARAMSALA
29,"Chikmagalur, Karnataka",3.8,https://www.holidify.com/images/bgImages/CHIKMAGALUR.jpg,7709.0,https://www.holidify.com/places/chikmagalur/," If you love the aroma of freshly brewed coffee in the mornings, you are going to love Chikmagalur, which has a perpetual fragrance of coffee lingering in the air. Very famously known as the ?Coffee Land of Karnataka?, Chikmagalur is situated in the foothills of the Mullayangiri Range in Karnataka and stands at an altitude of 3400 feet. Famous for its tall mountains, lush green forests and its tranquil environment (apart from its coffee production), Chikmagalur is a very popular tourist destination and is a quaint getaway from the busy life of the city. ",1,12,CHIKMAGALUR
30,"Kasauli, Himachal Pradesh",3.7,https://www.holidify.com/images/tooltipImages/KASAULI.jpg,8000.0,https://www.holidify.com/places/kasauli/," Located on the way from Chandigarh to Shimla, Kasauli is a hilly cantonment town which makes for an ideal peaceful holiday location, away from the rush. ",1,12,KASAULI
31,"Yercaud, Tamil Nadu",3.6,https://www.holidify.com/images/bgImages/YERCAUD.jpg,800.0,https://www.holidify.com/places/yercaud/," Nestled in the Eastern Ghats, Yercaud is a hill station called poor man's Ooty with abundant forests, vast coffee plantations and some unique species of flora and fauna resulting in gorgeous views. ",10,6,YERCAUD
32,"Lansdowne, Uttarakhand",3.8,https://www.holidify.com/images/bgImages/LANSDOWNE.jpg,999.0,https://www.holidify.com/places/lansdowne/," Perched amidst the Garhwal Hills of Uttarakhand, Lansdowne is a quaint little hill town that not many tourists know of. Off the beaten tourist trail, Lansdowne is an untouched, pristine town, miles away from the hustle and bustle of the city. Situated at 5670 feet above sea level, Lansdowne is more famously known for being home to the Garhwal Rifle regiment of the Indian Army. This hill station is neither commercialised nor heavily urbanised, making it the perfect getaway for anyone looking to take a break amidst peace and solitude. ",1,12,LANSDOWNE
33,"Shillong, Meghalaya",4.0,https://www.holidify.com/images/bgImages/SHILLONG.jpg,5476.0,https://www.holidify.com/places/shillong/," A beautiful city encircled by pine trees, Shillong is the capital of Meghalaya. It derives its name from Lei Shyllong, an idol worshipped at the Shillong Peak. Standing as tall as 1496 meters, Shillong provides a relief from the heat across the country. This hill station is known for its picturesque sights and traditions. The soothing climate makes Shillong suitable to visit in all seasons. The light drizzles and the cooling gentle wind adds to the joy of visiting this hill station. This place is also known as the ?Scotland of the East?. One can find descendants of the Khyrim, Mylliem, Maharam, Mallaisohmat, Bhowal and Langrim tribes. ",9,5,SHILLONG
34,"Wayanad, Kerala",4.3,https://www.holidify.com/images/cmsuploads/compressed/Wayanad_20180224231409.jpg,7709.0,https://www.holidify.com/places/wayanad/," Replete with enchanting waterfalls, historical caves, comfortable resorts and home stays, this popular town is famous for its spice plantations and wildlife. ",1,12,WAYANAD
35,"Palampur, Himachal Pradesh",3.3,https://www.holidify.com/images/tooltipImages/PALAMPUR.jpg,8500.0,https://www.holidify.com/places/palampur/," With pine and deodar forests and tea gardens encircling the town and numerous streams pouring in, Palampur is known for the enchanting combination of water and greenery. ",1,12,PALAMPUR
36,"Kufri, Himachal Pradesh",2.8,https://www.holidify.com/images/bgImages/KUFRI.jpg,7500.0,https://www.holidify.com/places/kufri/," Kufri in Shimla district, Himachal Pradesh is one of the most sought after holiday destinations, and more so for couples, because of its proximity to Shimla and relatively higher altitude which makes it a place with snow all through the winters. ",11,3,KUFRI
37,"Malshej Ghat, Maharashtra",4.0,https://www.holidify.com/images/bgImages/MALSHEJ-GHAT.jpg,7709.0,https://www.holidify.com/places/malshej-ghat/," A beautiful hill station with its numerous lakes, waterfalls and mountains, Malshej Ghat is popular among hikers, trekkers and nature lovers. ",7,3,MALSHEJ-GHAT
38,"Madikeri, Karnataka",4.0,https://www.holidify.com/images/bgImages/MADIKERI.jpg,7709.0,https://www.holidify.com/places/madikeri/," Generally covered as a part of trips to Coorg, Madikeri is a quaint hill town in Karnataka with vast coffee plantations, lush forests and misty hills, all culminating into a breathtaking view. ",2,9,MADIKERI
39,"Bir, Himachal Pradesh",4.0,https://www.holidify.com/images/bgImages/BIR.jpg,5198.0,https://www.holidify.com/places/bir/," Bir is a small town located in the state of Himachal Pradesh in northern India. Bir Billing is a popular destination for adventures sports such as paragliding, treks and also as the town for meditation. ",1,12,BIR
40,"Bhandardara, Maharashtra",3.9,https://www.holidify.com/images/bgImages/BHANDARDARA.jpg,7709.0,https://www.holidify.com/places/bhandardara/," Bhandardara, a hill station nestled in the Sahyadri ranges of Maharashtra, has all the nature's blessings a place can get. The lush greenery, the humble waterfalls and surrounded by high mountains makes for the perfect holiday spot for city dwellers. ",6,3,BHANDARDARA
41,"Yelagiri, Tamil Nadu",3.6,https://www.holidify.com/images/bgImages/YELAGIRI.jpg,876.0,https://www.holidify.com/places/yelagiri/," A quaint little hill station located in Vellore, Yelagiri is just three hours away from Bangalore, making it the perfect spot for a quick weekend getaway. Spread a little over 30 square kilometres, and at a height of over 1100 metres above sea level, Yelagiri offers its tourists some beautiful places like the Jalagamparai falls, sweeping orchards and rose garden, among others. The ideal destination for nature lovers, Yelagiri is a town that is completely off the beaten tourist trail, lending it a quieter and much more peaceful vibe compared to other more famous hill stations nearby. Originally belonging to the Zamindar family of Yelagiri, the hill station began to gain popularity since the colonial rule, when it was used by the British as a summer getaway. Ever since then, it has been one of the hidden gems of South India, replete with rocky hills and natural scenic beauty, making it the perfect place to take a break from the fast-paced city life. ",11,2,YELAGIRI
42,"Kudremukh, Karnataka",4.2,https://www.holidify.com/images/bgImages/KUDREMUKH.jpg,2000.0,https://www.holidify.com/places/kudremukh/," With the promise of a picturesque view of a mountain in the shape of a horse face, Kudremukh is famous for its biodiversity and scenic beauty. ",10,5,KUDREMUKH
43,"Tawang, Arunachal Pradesh",4.3,https://www.holidify.com/images/bgImages/TAWANG.jpg,12259.0,https://www.holidify.com/places/tawang/," Located at a height of about 3048m, is known for many important and beautiful monasteries and is famous as the birth place of Dalai Lama. ",9,3,TAWANG
44,"Mukteshwar, Uttarakhand",4.1,https://www.holidify.com/images/bgImages/MUKTESHWAR.jpg,7709.0,https://www.holidify.com/places/mukteshwar/," Mukteshwar is a small hill town mostly known for adventure sports such as rock climbing, rappelling etc. and the amazing view of Himalayan ranges you get from there. ",10,6,MUKTESHWAR
45,"Chamba, Himachal Pradesh",3.0,https://www.holidify.com/images/tooltipImages/CHAMBA.jpg,15000.0,https://www.holidify.com/places/chamba/, Chamba is that one getaway you've always dreamed off. Minimal human alteration in the topography and environment and the balanced temperatures of the area make it the perfect destination all year round. The river Ravi cuts across town and adds to the scenery. Chambal is present at the confluence if Ravi river with Chal river. ,10,6,CHAMBA
46,"Almora, Uttarakhand",3.6,https://www.holidify.com/images/tooltipImages/ALMORA.jpg,27500.0,https://www.holidify.com/places/almora/," Cradled in the wilderness of Himalayan ranges, the sprawling town of Almora shaped like a horse-shoe is a hill station that boasts of a pre-British heritage and an adyllic vibe. ",1,12,ALMORA
47,"Coonoor, Tamil Nadu",3.8,https://www.holidify.com/images/tooltipImages/COONOOR.jpg,7709.0,https://www.holidify.com/places/coonoor/," One of the most beautiful and serene hill stations you will come across in the country, Coonoor is the second largest hill station in the wonderful Nilgiri Hills of the Western Ghats. It is situated at an altitude of 1930 meters and just 19 km from Ooty. ",10,3,COONOOR
48,"Valley of Flowers, Uttarakhand",4.5,https://www.holidify.com/images/bgImages/VALLEY-OF-FLOWERS.jpg,7709.0,https://www.holidify.com/places/valley-of-flowers/," Valley of Flowers is located in Chamoli district (near Badrinath) of Uttarakhand, approximately 300 km to the north of Rishikesh. This is a picturesque national park, gracing the beauty of Western Himalayas.  Valley of flowers was discovered in 1931 and is a World Heritage Site for its wild untamed blooms surrounded by white peaks. ",5,10,VALLEY-OF-FLOWERS
49,"Ranikhet, Uttarakhand",3.7,https://www.holidify.com/images/tooltipImages/RANIKHET.jpg,9000.0,https://www.holidify.com/places/ranikhet/," Ranikhet meaning Queen's farm, is a hill station developed by the Britishers around ancient temples, undulating Himalayan hills and forests. ",1,12,RANIKHET
50,"Kalimpong, West Bengal",3.7,https://www.holidify.com/images/bgImages/KALIMPONG.jpg,11934.0,https://www.holidify.com/places/kalimpong/," Kalimpong is a virgin hill station in West Bengal renowned for its panoramic valley views, Buddhists monasteries and churches and Tibetan handicrafts etc. ",3,12,KALIMPONG
51,"Khandala, Maharashtra",3.5,https://www.holidify.com/images/bgImages/KHANDALA.jpg,7709.0,https://www.holidify.com/places/khandala/," Perched on the foothills of Sahyadris, Khandala provides for a perfect weekend respite for the Mumbai population, with its scenic valleys, grassy hills, serene lakes and misty waterfalls. ",1,12,KHANDALA
52,"Idukki, Kerala",4.0,https://www.holidify.com/images/bgImages/IDUKKI.jpg,6000.0,https://www.holidify.com/places/idukki/," With remains of Chera dynasty, Vembolinad Kingdom, and European plantations in the later years, this rugged hill resort is best known for its wildlife sanctuaries, beautiful bungalows, tea factories, rubber plantations and forests.  ",1,12,IDUKKI
53,"Araku valley, Visakhapatnam",4.2,https://www.holidify.com/images/attr_square/3902.png,7709.0,https://www.holidify.com/places/visakhapatnam/araku-valley-sightseeing-3902.html," A hill station located close to Vizag is the Araku Valley. Naturally been bestowed upon with beautiful streams, enchanting waterfalls and a lovely weather, Araku valley is placed at a height of 3100 feet in the effluent hills of Anatagiri. ",1,12,VISHAKAPATNAM
54,"Horsley Hills, Chittoor",4.1,https://www.holidify.com/images/attr_square/4413.jpg,7709.0,https://www.holidify.com/places/chittoor/horsley-hills-sightseeing-4413.html," Nicknamed 'Andhra Ooty', this hill station located near Madanapalle town, is one of the three hill stations in Andhra Pradesh. With its peaks kissing the clear blue sky, a panoramic view of the virgin green cover, sweet chirpings of the birds, colourful flora on the pathways, this place is surely going to take your breath away. ",1,12,CHITTOR
