,name,place,description
12,andaman and nicobars,Speed Boat Ride in Havelock Island,"The white sand beach and the blue green water at the Elephant beach is enticing for almost every traveller. The boat ride to Elephant beach passing through the light house is amazing. While Andamans is full for exploring the beaches and mini landmasses and get yourself entertained by doing various water adventures the speed boat ride in the Havelock Island is one of the must try adventure. 

It is also a quick way to cover different areas across the beautiful islands of Andaman while remain inside the safety of speed boat. You can hire your own speed boat and you can also share it with someone. If you reach the location before 3 pm you can check out the crocodile cave in high speed boats, which is a thrilling experience. Do not miss the Andamans Dolphin boat ride, it is a speed boat with glass bottom and the lower portion permits you to see the majestic sea life. Check the weather forecast before hand and go for the ride if the water is calm."
13,andaman and nicobars,"Seaplane Ride, Port Blair","A seaplane is a powered fixed-wing aircraft which is capable of landing and taking off on water. The seaplane flies between Port Blair and Havelock Islands. It takes approximately 20 minutes to reach Havelock Island. The first seaplane was launched in January 2011 ,in Andaman and Nicobar Islands ,India. 

The capacity of sea plane of 9 passengers and 5kg of baggage per person can be carried. So if you are traveling by sea plane, keep in mind that the tickets are non refundable and have to be booked in advance. Have a great sea plane ride because there are some things which must be experienced in a life time."
14,andaman and nicobars,"Trekking, Mount Harriet","The Mount Harriet is in Port Blair. There are several trekking routes, one being through the evergreen forests from Bamboo flat to mount Harriet. It is the highest peak in the south Andaman archipelago, named after Harriet Tytler, the second wife of Robert Tytler, who was a British soldier, naturalist and photographer. Mount Harriet is at a distance of 55 km by road and 15 km by ferry from Port Blair.

The greenery is so at its peak that you find yourself covered by forests all around. The different kind of birds amaze your eyes. Port Blair city, Ross Island, Havelock Island can be seen from the top of the peak which gives you a never forgetting image. One amazing fact about mount Harriet is that the image behind the INR 20 note is taken from here. The flora and fauna, nature, greenery are worth your time and money.

Jeeps and taxis are available to take the tourists all the way to the top to Mount Harriet."
15,andaman and nicobars,Radhanagar Beach,"Considered as one of Asia's best beaches, Radhanagar beach is an epitome of natural beauty and magnificence. This beautiful stretch of sand is located on the Havelock Island, which is a short ferry away from Port Blair. The blue and turquoise waters and the golden sand make up for a fine contrast. Presently, it is the '7th best beach in the world.'

The lush forest cover and the tall pine trees provide a perfect backdrop for the beach. The Radhangar Beach reaches the peak of its natural grandeur at sunrises and sunsets, providing picture-perfect views to the tourists. Adventure sports can be enjoyed here, with scuba diving and parasailing being the most popular choices. Or you can just laze around on beach beds, admiring the landscape while enjoying the sea breeze. Some of the best seafood and coconut water is available on the premises of this beach. This is a must-visit destination for all the people in the world.
"
16,andaman and nicobars,Anthropological Museum in Port Blair,"The Anthropological Museum in Port Blair is a history enthusiast's delight. One of the best and well maintained museums in India, this facility delves into the histories, cultures and traditions of the local tribes of Andaman and Nicobar islands. This museum depicts the life of the original communities which inhabited these islands. 

The Anthropological Museum has several artifacts and exhibits on display. Some of these date back several hundreds or thousands of years. An ancient Jarawa chest guard is a popular artifact. Much of the information provided here is not available in the rest of the world.The Museum also has a well equipped library, containing numerous books which shed light on the culture and traditions of the past. You can spend your entire day here, admiring the customs of the Paleolithic people. It's a must visit destination. "
17,srinagar,Shikara Ride on Dal Lake,"Shikara, the little wooden cut vessel, as a rule seen at Dal Lake and Nagin Lake of Srinagar, is one of the entrancing attractions of the city. Recovering the old world appeal, the quick development of a Shikara gives an exceptional approach to encounter the interminable magnificence of Kashmir. Shikara rides in Kashmir are a standout amongst the most dazzling parts of Jammu and Kashmir tourism. 

An unwinding ride while getting a charge out of the encompassing perspectives around Dal Lake and Nagin Lake is genuinely a worthwhile joy. Shikara in Kashmir is likewise utilized for different purposes separated from relaxation. Shikaras are utilized for offering assortments of blossoms and painstaking work that are very famous among travelers dwelling in houseboats. The white breasted kingfisher, untouchable kites and little grebe are a portion of the basic fowls that can be effectively spotted while appreciating a Shikara ride in Kashmir."
18,srinagar,Dal Lake,"The Dal lake is synonymous to a visit to Srinagar and just about a visual meaning of the town. Spread more than 26 sq km, it is the most photogenic extend of heaven on earth and without a doubt additionally the most looked for after attraction. The numerous differents leaders of Kashmir have conveyed such a great amount of progress to the Dal Lake which has brought about our advantage as we get the chance to involvement and appreciate its magnificence. 

Srinagar has dependably been a charming spot to visit in summer, consequently, making it one of the most loved spots the Mughals and the Britishers got a kick out of the chance to go amid summer. The Mughals saw the potential in the Dal lake and encompassed it with excellent Mughal like-Gardens and structures and furthermore fabricated the Shalimar and Nishad Gardens precisely at a place where the delightful outstretched lake can be found in all its glory. The Dal lake comprises of four primary singe chinars amidst the lake which is a methods for its acknowledgment."
19,srinagar,Mughal Garden,"Mughal gardens are a gathering of patio nurseries worked by the Mughals in the Persian design. This style was vigorously impacted by the Persian gardens especially the Charbagh structure. Huge utilization of rectilinear formats is made inside the walled fenced in areas. A portion of the average components incorporate pools, wellsprings and trenches inside the greenhouses. 

Since the earliest reference point, the development of patio nurseries was an adored majestic distraction of the Mughal Empire. Babur, the principal Mughal winner lord, had gardens worked in Lahore and Dholpur. His child, Humayun, is known to have invested loads of energy at his dad's greenery enclosures. Akbar fabricated a few gardens first in Delhi, at that point in Agra. These had a tendency to be riverfront plants instead of the stronghold gardens which were worked by his ancestors. Building riverfront as opposed to stronghold gardens impacted later Mughal plant design significantly."
20,srinagar,Dachigam National Park,"Dachigam National Park is an untamed life and condition protection territory. It covers a range of 141 sq km, which has been partitioned into Lower Dachigam and Upper Dachigam. Meaning '10 towns', the name of this national stop indications towards the ten villas that together framed Dachigam National Park. This national stop has a rich greenery that incorporates around 500 herb species, 50 sorts of trees and 20 assortments of bush. 

This place acquires across the board acknowledgment for being the natural surroundings of the last surviving populace of Hangul (Kashmir Stag). Himalayan Black Bear can be seen here amid springs and harvest times while summers are perfect to spot Long-followed Marmots. Panther, Jackal, Red Fox and Common Palm Civet are other creature species that are found in this national stop. It additionally pulls in ornithologists and birdwatchers as around 145 fowl species can be spotted here. Its picturesque scene draws in nature darlings who can catch vistas of rich knolls, blanketed fields and regular rugs of blue poppy blooms."
21,srinagar,Chashm e Shahi Garden,"Chashme Shahi Garden, signifying 'The Royal Spring', is arranged at the foothills of Zabarwan Mountains in Srinagar. This garden is the littlest among the three Mughal Gardens in the city. Shah Jahan – the Mughal head – got this garden laid under his watch in 1632. It has a few normal springs found by a worshipped female holy person Rupa Bhawani, who was otherwise called Sahibi. In her respect, the garden was at first named as Chashme Sahibi. 

The highlight of Chashme Shahi Garden is its characteristic spring of freshwater, which has mineral substance. There are three terraced developments in the garden, which are covered with lavish greenery and spotted with beautiful blooms. A few wellsprings and waterfalls embellish the verdant scene of this garden. It is fixed with various trees of Chinar and distinctive organic products, which add to its beautiful charm. This wonderfully laid garden has a photo consummate scene that offers a few vistas to catch in the camera. Etched wellsprings, normal springs, waterfalls and vivid blossoms improve its magnificence and draw in guests to click a few photos."
22,srinagar,Shalimar Bagh,"Shalimar Bagh is one of the flawlessly laid gardens by Mughal sovereign Jahangir. Displaying the excellent craftsmanship of Mughals in cultivation, the place is very prominent with travelers from everywhere throughout the world. The best time to design a visit to Shalimar Bagh is either amid Spring or Autumn Season. It is the time when the blossoms are in their full sprout and Chinar trees change their shading from green to orange and yellow giving a warm shine to the garden.

Shalimar Bagh is one of the biggest Mughal cultivates in Kashmir valley worked by the Mughal ruler Jahangir for his significant other Nur Jahan in the year 1619. It fills in as a well known visitor site arranged on the correct banks of Dal Lake. The expression ""Shalimar"" is a Sanskrit word signifying 'Adobe of Love'. The garden has been known by a few different names after some time, for example, Shalamar cultivate or bagh, Faiz Baksh and Farah Baksh. Right now, kept up and oversaw by Jammu and Kashmir Tourism Department, Shalimar Bagh is an extraordinary worldview of Mughal Horticulture getting vacationers in to a great degree substantial number from everywhere throughout the world."
23,srinagar,Pari Mahal,"Pari Mahal is a terraced plant arranged toward the southwest of Dal Lake, over the celebrated Chashme Shahi Garden. On the other hand known as Quntilon and Fairies' Abode, it is numbered among the star attractions of Srinagar. Mughal head Shah Jahan's child Dara Shikoh manufactured this garden in the memory of Mullah Shah Badakhshi – his coach, who lectured the Qadiri request of Sufi Islam. The stupendous garden was utilized as a galactic observatory and a critical learning place for prophetic science. 

This delightfully arranged garden covers a sprawling region that is 122 meters long and 62.5 meters in width. It involves six porches, which have isolate water tanks that are filled through underground pipes. The verdant and all around manicured yard with brilliant blossoms and natural product trees adds to the general interest of this green space.  Pari Mahal has constantly intrigued the Hindi film industry and has been the shooting area of a few Bollywood motion pictures like Tum aagaye ho, Aandhi (1975), Lamhaa (2010), Madhno and Main kaun hoon. You can click photos of its wonderful yards or catch the display of Dal Lake and its incorporating mountains."
24,srinagar,Doodh Ganga,"Another scene for the walkers is a stream, known by the name of Doodh Ganga. Foaming and slamming on its way finished the stones, the waterway makes a little smooth white froth, which gives it this name. Somewhat ahead, is a lake, Nilnag, enveloped inside slopes. The slopes include various pinnacles, to be specific Tatta Kutti, Sang Safed, and so forth. Reinforced by the knolls of Yusmarg, the stream defines its very own little heaven for guests. Moving through high height tops, the waterway offers a beautiful view to be appreciated. 

An excellent frequent for calculating and trout angling, Dudh Ganga is the safe house for experience and recreation searchers alike. Pearl of the Yusmarg visitor spots to visit, the stream has improved Jammu and Kashmir tourism. Trekkers set out for famous treks in Sang-e-Safed Valley, Tatakoti, Romesh Thong and Sunset Peak in the wake of outdoors at Dudh Ganga. The intense River Doodh Ganga ascends from a few high-elevation tops and a distributary of similar streams into the supply. Tord ""Yus"" is said to be a short type of Youza or Jesus and a marg implies a knoll, it is trusted that Jesus went through this valley while going into Kashmir."
25,kutch,Kutch Rann Utsav,"Experience Kutch at its colorful and exotic best during the rann utsav which is organised every year from November to February. This annually organized festival offers an opportunity for visitors to attend folk dance and music concepts, to watch artisans at work, to Shop directly from NGO’s craftspeople and village co-operatives, to see the great Historical monuments in the state, and to visit places off the usual tourist trail.
The cool winter breeze and soothing rays of full-moon night welcomes you to Rann"
26,kutch,Mandvi Beach,"The first thing most people think of when they visit Mandvi is visiting the seashore. Mandvi Beach is the closest to the town center, across the bridge to the east side of the river, then down the road past a place called Salaya, accessed from just near the Kashi-Vishvanath Templ"
27,kutch,Wild Ass Sanctuary,"Indian Wild Ass Sanctuary also known as the Wild Ass Wildlife Sanctuary is located in the Little Rann of Kutch in the Gujarat state of India. Spread over 4954 km², it is the largest wildlife sanctuary in India. This sanctuary attracts many internationally threatened birds like houbara bustard, dalmatian pelicans, hawks, harriers and falcons. Many of these birds migrate to this area, which falls on the migratory route of birds coming to Indian subcontinent"
28,kutch,Bhadreshawar Jain Temple,"The Vasai Jain Temple is said to have been founded in the 21st year of the Vairat era, and dedicated to Vasai by Siddhasen of the race of Hari. It has Lord Ajitnath statue."
29,kutch,Camel Safari,"Camel Safari is a must do in Kutch. It is a wonderful joy ride to safari on white desert of Gujarat. You will feel like you are on the moon while on safari. If visit at time of sunset, it will altogether be much more thrilling experience.
Winter is the best time of the year for a camel safari."
30,kutch,Dholavira,"Dholavira is the larger of the two most remarkable excavations of the Indus Valley Civilization or Harappan culture, dating back to 4500 years ago. While the other site, Lothal, is more exhaustively educated and easier to reach, a visit to Lothal only complements, rather than replaces, a visit to Dholavira. What this site offers you, in the intense environment that comes with being surrounded by the Great Rann of Kutch, is a unique insight into the pioneering Harappan mind, with one of the world’s earliest and best planned water conservation systems and what might be the world’s first signboards, written in ancient Indus script."
31,gangtok,Sikkim Himalayan Zoological Park,"The Himalayan Zoological Park in Gangtok, East Sikkim, is home to various Animalia belonging to the Himalayan region, spread over an area of 230 hectares. The Animals include the Himalayan Black Bear, Red Pandas, Snow Leopards, Leopard Cats, Tibetan Wolves, Masked Palm Civets, Barking Deer, Spotted Deer, Crimson-Horned Pheasant, Himalayan Monal Pheasant, among others.

The uniqueness of the Park lies in the fact that the animals here live in their perfectly-replicated natural habitat, which makes it one of the first in India to do so. This offers an unparalleled experience to the tourists, as they see the creatures behave as if they were in their natural habitat, the effect of which no zoo can replicate. Apart from the remarkable experience, the Zoological Park also offers a splendid view of the majestic Himalayas, and in particular, Mt. Kangchenjunga."
32,gangtok,Ban Jhakri Waterfall,"The Ban Jhakri Park is one of the most important tourist attractions of Gangtok. Spread over an area of 2 acres, it houses a natural waterfall, which is about a hundred feet high, and is surrounded by a beautiful forest, with plenty of beautiful trees and flowering plants, which make it one of the most popular picnic spots for tourists, as well as locals.

Situated within the premises of the Waterfall, is a manmade lake, with a beautiful Dragon at its centre. The Park is themed upon the wonderful Shamanic culture of Sikkim, and houses some of the most beautiful statues of the ancestors of the Lyam Lymay, Mangpas, and Lepcha communities of Sikkim. The Park relies on eco-friendly and non-conventional sources of Energy, due to which many have dubbed this Park as the 'Energy Park'."
33,gangtok,Tsongmo Lake,"Lake Tsongmo is one of the most beautiful lakes in Sikkim, placed in the lap of the great Himalayas. Located at a distance of about 40 km from Gangtok, at an altitude of 12300 ft, the Lake is an absolutely stunning natural beauty. What makes this lake even more attractive and spectacular, is that the water of the lake changes its colours with the changing seasons. 

The Lake gets frozen during winters, and the whole surrounding is covered in a layer of beautiful white, while during spring, the blossoming flowers around the lake render the lake looking magnificent in multicolour. The Lake is of great historical and cultural significance, as it is greatly revered by the locals of the valley, as well as the Buddhist monks. Legend has it that, in the old days, the Buddhist monks used to foretell the future by analyzing the changing colour of the Lake."
34,gangtok,Nathula Pass,"Situated at a height of 14140 ft. on the Indo-China Border, the Nathu La pass is one of the most historically important mountain passes in modern history, with its roots traced back to  to the days when the Silk Road was an active route for traders of the East and West, over two thousand years ago. 

The new Silk Route was reopened in 2006, and since then, serves as a route for trade of yak hair, silk, clothes, etc. The short distance of just 55 kilometers from Gangtok, Sikkim, Nathu La pass is one of the most important place on the itineraries of the tourists. However, to visit the Pass, you would require a permit, which is easily available through the tour agencies, or the hotel you will be staying at. Although photography and videography are not allowed at the Pass, you would have an amazing time, being on the freshly fallen snow on the slope of the Himalayas, with the armies of India and China patrolling the border."
35,gangtok,Ropeway,"The itinerary of every visitor of Gangtok must include the ropeway or the cable car, located in the Deorali market. The ropeway provides one of the most breathtaking views of Gangtok against the backdrop of the lush green forests on the slopes of the Hills and the magnificent Himalayan skyline, including Mt. Kangchenjunga, which truly makes it a sight to behold.

The ropeway pauses in between for about 15 minutes, so that you can take pictures, and bask in the serene beauty of the Sikkim Himalayan Mountains. The ropeways can generally be a little crowded, because of the rush of all the tourists, but once you enter the cabin, and the car begins to move, the sheer magnificence of the scene is bound to make you spellbound, as you look upon the stream flowing beneath you, combined with the snowcapped Himalayan Mountains, and just look upon the beauty that nature has to offer."
36,gangtok,Hanuman Tok,"Hanuman Tok is a Hindu temple devoted to Lord Hanuman and has a fascinating history. Lord Hanuman on the way to Lanka with Sanjeevani Mountain rested on the spot for a while where now the temple stands. Hanuman Tok’s distance from Gangtok is around 11kms and is located at a height of 7200 feet. This temple is also known as wish fulfilling temple and no one has ever returned empty handed.

Up to 1950 people used to worship a stone. An officer named Appaji Pant had a divine dream and constructed this magnificent temple. Now the temple is maintained by Indian army and has a spectacular view to capture in photos. This place is filled with spirituality and serenity. You can hear the sound of bells, prayers and religious music from distance. Its scenic beauty is to be gazed upon; beautiful garden filled with flowers, wonderful 360-degree view of the mountains and the valleys and a magnificent view of Mount Kanchenjunga. The area is surrounded by lush greeny this place is perfect to unwind, meditate and recharge yourself."
37,gangtok,Rumtek Monastery,"The Rumtek Monastery, located about 24 km from Gangtok, is one of the largest monasteries in Sikkim, and belongs to the Kargyu sect of Buddhists. The Monastery was originally built during the mid 18th Century, but has since been renovated during the 1960s, to be transformed into a marvellous fusion of ancient and modern Tibetan Buddhist architecture.

The monastery holds historical importance too, as it holds some of the most unique pieces of Buddhist art, in the form of wall murals, silk paintings, statues, and thankas (which are scrolls with intricate hand-paintings), a pure-gold statue of the 16th Karmapa, and a bejeweled crown, dating back to the 15th Century. There is also an aviary nearby, housing some of the most beautiful birds of the region. For the Buddhist enthusiasts who wish to stay, there are some very fine guest houses and hotels for travellers to stay in."
38,gangtok,Ranka Monastery,"East Sikkim has two most wonderful monasteries- Ranka and Rumtek Monastery. Both are situated within the distance of 15kms. Ranka Monastery’s distance from Gangtok is about 20kms and is one of the great monasteries in India. This monastery is relatively new and does not have much historical or strategic significance yet it is beautiful and majestic and has been featured in various Bollywood movies.

The monastery follows the Zurmang Kagyud lineage of Buddhism. To get to the monastery one has to walk up the hill. The 2-storey building is comprised of various classrooms where you can spot young monks wearing beautiful red and saffron getting trained. The prayer room has a huge golden statue of Buddha. The abbey is surrounded by forest on all the side and the greenery makes it one of the most picture perfect monasteries. The Jhakri waterfall is a major attraction in Sikkim situated close to the monastery. Adventure lovers can enjoy the fun of paragliding here from a place nearby."
39,gangtok,Do-Drul Chorten Stupa,"Dro-dul Chorten Stupa, Sikkim is near Research Institute of Tibetology and is located on a hillock. It was constructed by Trulshik Rinpoche, chief of the Nyingma order of Tibetan Buddhism in 1945. The stupa has a golden dome at top which can be seen from various places in Gangtok. 

This place was once haunted by evil spirits and many people who wandered around the place became victims and died. Trulshik Rinpoche came to this place for hermitage and later while construction drove the spirits away. The place is surrounded by 108 Mani Lhakor (prayer wheels) with mantras inscribed on them in Tibetan. The devout Buddhists turn the wheels in the clockwise direction while chanting &#39;Om Mane Padme Hum meaning ‘O Jewel in the Lotus’ to invoke the Bodhisattva. The stupa preserves Dorjee Phurba, Kanjur holy books, relics, books of mantras and various other religious objects."
40,gangtok,"Saramsa Garden, Gangtok","Saramsa Garden in Gangtok most commonly known as Ipecac Garden is the real treat to your senses. Situated 14kms away from the main city, this garden is the most spectacular gardens in East Sikkim. It was established by the Forest Department of the Government of Sikkim in the year 1922.

Earlier this garden was used for growing fruit for the local colonial officers and it later became known for cultivating a medicinal plant named Cephaelis Ipecacuanha. The growing of plants with medicinal value was stopped in the year 1970. In the year 2008, State Government hosted the International Floriculture Show attracting visitors from all around the world. This place has been converted into a picnic spot and is an ideal place for leisure, recreation and old school romance around the orchids. The stunning range of colorful flowers and greenery will hold your attention."
41,gangtok,Namgyal Institute of Tibetology,"Namgyal Institute of Tibetology is one of the few institutes that do research in the areas of Tibetan language and culture. The foundation of the institution was laid by 14th Dalai Lama and was inaugurated by Pandit Jawaharlal Nehru in 1958. It is located less than 2kms away from the main city in Deorali.

The main building of the institute is the fine portrayal of Tibetan architecture. It is adorned with golden towers, colorful frescos, beautiful paintings and the array of windows on the top floor viewing beautiful sun-lighted mountains and pleasant view of the valley. The museum has collections of Buddhist books, coins, thangkas, statuettes, Tibetan art work and ancient manuscripts in Sanskrit, Tibetan, Chinese, and Lepcha. The magnificent image of Manjushri is the icon of the museum which was brought from all the way from Tibet. This is a treasure trove of Tibetan literature and artifacts, the only one of its kind in India making this place a must visit spot."
42,gangtok,Ganesh Tok,"Ganesh Tok is located at the altitude of 6500 feet, close to Tashi View point Ganesh Tok lies on the hill adjacent to the television tower of Sikkim. It is one of the most popular Ganesh temples in Sikkim and is 7kms away from the main city. One needs to climb up a staircase to reach the shrine and the viewing area.

Decorated with multicolored prayer patakas hoisted and tied across the roads, the path to Ganesh will make you feel like walking into the rainbow. However, the temple is quite small and can accommodate one person at a time still remains a major crowd puller for all tourists visiting Gangtok. The viewpoint from the circular balcony around the temple and the viewing lounge is mesmerizing. One can get a clear view of Gangtok, rolling hill and the snow capped mountains including Mount Kanchenjunga. The devotees offer praying and plant saplings on the ground near the temple on behalf of those they love."
43,rishikesh,Bungee Jumping,"Bungee jumping at Rishikesh is one of the fun activities that attract tourists to visit. It is highest fixed platform bungee jumping in India. It is located in Mohanchatti which is 25 kms from Rishikesh. The Rishikesh bungee jumping is designed by David Allardice of New Zealand, it is a cantilever platform built above an iron cliff overlooking a tributary of River Ganga. 

Other fun activities such as Flying fox and Giant swing are also available. The bungee jumping height is of 83 meters and after the jump the jumpers are lowered into the river. Bungee jumping online booking is also available. At the bungee jumping location, you will be provided with a training session where the instructors will inform you about bungee jumping safety tips to avoid accidents, techniques and explain you about the gear. Dare to take the leap of faith and enjoy the exhilarating experience."
44,rishikesh,River Rafting,"The tributaries of the sacred river Ganga, gurgling and revving over rugged and uneven ground, makes river rafting in Rishikesh a must try adventure sport for the adventure enthusiasts. Rishikesh river rafting is best enjoyed during the post- monsoon seasons which usually starts from September and continues till June. 

Rishikesh river rafting packages are also available online, you should book in advance to avoid any hassle. There are four different rafting stretches which vary depending on the level of adventure they provide and so does their cost. River rafting costs may differ further depending on the number of participants. Safety measures are also provided for the participants.  Stay in the camps on the banks of river Ganga and enjoy the thrill and the adrenaline rush of river rafting."
