,Name,Place_name,Description,Link
10,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 11. Manikaran,"Manikaran is a small town situated between rivers Parvati and Beas, famous for its hot water springs and beautiful landscapes. The town has a famous Gurudwara called Manikaran Sahib and it is frequented by Sikhs from all over the country.",https://www.holidify.com/places/manikaran-sahib/
11,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 12. Hampta Pass Trek,"Hampta Pass, situated in the Manali region of the Himachal Pradesh, serves as one of the most convenient and enjoyable treks. Laden with pristine form of nature, the trail comprises of dense pine forests, pristine glacial valleys, vast meadows and panoramic landscape.",https://www.holidify.com/places/manali/hampta-pass-sightseeing-8183.html
12,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 13. Kullu,"This sister town to Manali too, is a hill station of dreamy landscapes and sceneries, a hub of adventure activities as well as home to a number of sacred temples and shrines.",https://www.holidify.com/places/kullu/
13,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 14. Chandrakhani Pass and the Parvati Valley,"This modest bit of paradise, with its share of snow and clouds is an ideal stretch for trekking and views to lose oneself in. At a flattering height of 3600 meters, nestled in the Parvati Valley, the Chandrakhani pass is a favorite for those who seek natural beauty as well as those in search of adve...",https://www.holidify.com/places/kullu/chandrakhani-pass-sightseeing-2496.html
14,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 15. Manu Temple,"Manu temple is said to be the only temple of Manu in India, who is believed to be the creator of human race. This Pagoda style of structure offers quite a glimpse into history, spirituality as well as a fascinating style of architecture.",https://www.holidify.com/places/manali/manu-temple-sightseeing-2761.html
15,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 16. Old Manali,"On the other side of the Manalsu river is a part of Manali, time left behind. With a sweet scent of an old world charm, interspersed with guesthouses and an increasing presence of tourism and hints of the present that it brings along, Old Manali is a tiny shift in the world and its rush, one must ex...",https://www.holidify.com/places/manali/old-manali-sightseeing-2764.html
16,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 17. Nehru Kund,"Nehru Kund gets its name from the first Prime minister of India, Jawaharlal Nehru who is said to have had water from the natural spring, when he used to stay in Manali. One still finds here some cold and pristine water running here and a breath-taking scenery of mountains and valleys all around.",https://www.holidify.com/places/manali/nehru-kund-sightseeing-2763.html
17,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner"," 18. Van Vihar, Manali",Van Vihar is a simple favorite of both tourists as well as locals. This is a municipal garden located on the Mall Road and has a pond for boating surrounded by tall deodar trees watching over.,https://www.holidify.com/places/manali/van-vihar-sightseeing-2768.html
18,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 19. Manali Sanctuary,"Manali Sanctuary is home to Mona- the state bird of Himachal Pradesh and a number of other rare and local species. Find here Brown Bear, Musk Dear and maybe even a Snow leopard.",https://www.holidify.com/places/manali/manali-sanctuary-sightseeing-2759.html
19,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 20. Bara Bhangal Trek,"Bara Bangal Trek, also known as the Shepherds trail trek, takes you from the lush green Kullu valley to the stark landscapes of Bara Bhangal range.",https://www.holidify.com/places/manali/bara-bhangal-trek-sightseeing-8236.html
20,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 21. Naggar,"Naggar is an unexplored and modest town in the Kullu district, which will give you all the time to leisurely walk around, rest and rejuvenate amongst mountains, valleys, lush greenery and the River Beas flowing in much proximity.",https://www.holidify.com/places/naggar/
21,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 22. Malana,"This village in Kullu, is a bit of shift in the world as we know it. There are around 200-300 stone roof houses sheltering 1500 people in this settlement which is one of its kind.",https://www.holidify.com/places/kullu/malana-sightseeing-2501.html
22,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 23. Deo Tibba Trek,"Cradled in the lap of Himalayan Mountains in Himachal Pradesh, Deo Tibba trek is steeped with the richness of the nature and stunning landscapes. It is a spectacular trail passing through series of grazing pastures of Gaddi shepherds.",https://www.holidify.com/places/manali/deo-tibba-trek-sightseeing-8222.html
23,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 24. Gayatri temple,"Situated 7 km away from Manali, the Gayatri temple houses an idol of Goddess Gayatri, made of marble. This temple has some splendid architecture styles, is constructed with a stunning artistic finesse and with some of the most intricate woodwork.",https://www.holidify.com/places/manali/gayatri-temple-sightseeing-2755.html
24,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 25. Jogini Waterfall,Jogini Waterfall is located about 3 kilometres away from the bustling town of Manali and around 2 kilometres away from Vashisht Temple. Tourists have to trek ahead from the temple to reach Jogini Waterfall.,https://www.holidify.com/places/manali/jogini-waterfall-sightseeing-121057.html
25,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 26. Bhunter,"What is generally overlooked as a town of utility only, with an airport and the last ATM before you travel to higher altitudes, is a town where one can have a calm, simple and almost idle break from the popular Himachal hill stations and their tourist rush.",https://www.holidify.com/places/bhuntar/
26,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 27. Bhrigu Lake,Bhrigu Lake is a high altitude lake located in the district of Kullu about 40 kilometres away from Manali. The route to the lake passes through mesmerising meadows. Not many tourists know about the beautiful Bhrigu Lake Meadows that can be compared with the alpine meadows found at high altitude loca...,https://www.holidify.com/places/manali/bhrigu-lake-sightseeing-121058.html
27,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 28. Jana Waterfall,Jana Waterfall is located in a quaint village named Jana in the mesmerizing valley of Manali. It is a favourite picnic spot and is often visited by people residing nearby to escape the chaotic city life.,https://www.holidify.com/places/manali/jana-waterfall-sightseeing-121059.html
28,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 29. Gulaba,"Gulaba is a beautiful little village located about 20 kilometres from Manali on the route to Rohtang Pass. Gulaba has an enchanting natural landscape that attracts tourists in large numbers. One can explore the region trekking, set up a camp to soak in its natural beauty.",https://www.holidify.com/places/manali/gulaba-sightseeing-121060.html
29,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 30. Gadhan Thekchhokling Gompa Monastery,"Gadhan Thekchhokling Gompa is a well known religious centre primarily for the Buddhists. However, people belonging to any religious belief are welcome to explore and soak in the divine spiritual vibe. The monastery is a small shrine dedicated to Lord Buddha.",https://www.holidify.com/places/manali/gadhan-thekchhokling-gompa-monastery-sightseeing-121061.html
30,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 31. Museum of Himachal Culture & Folk Art,"Museum of Himachal Culture & Folk Art has a beautiful collection of ancient and traditional heritage belonging to the region. The antique artefacts on display at the museum give insights into the long forgotten art, handicraft and the ancient culture of Himachal Pradesh.",https://www.holidify.com/places/manali/museum-of-himachal-culture-and-folk-art-sightseeing-121062.html
31,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 32. Siyali Mahadev Temple,Siyali Mahadev Temple is a place of worship dedicated to Lord Shiva and is known as one of the oldest temples of Lord Shiva in the region. The sight of the temple from afar astounds everyone as they witness this unique structure amidst the beautiful natural landscape of Manali.,https://www.holidify.com/places/manali/siyali-mahadev-temple-sightseeing-121063.html
32,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 33. Arjun Gufa,Arjun Gufa is considered to be a legendary natural formation in Manali. The cave is a favourite picnic spot and is also famous for the adventure of exploring the creation from inside. The climb up to the cave is exciting in itself with the surrounding natural landscape so beautiful it cannot be expl...,https://www.holidify.com/places/manali/arjun-gufa-sightseeing-121065.html
33,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 34. Rahala Falls,Rahala Falls is a well-known picnic spot for locals and tourists on their way to Rohtang Pass from Manali often halt to explore the waterfall. The water found at the Rahala Falls is usually cold as the water comes from a melting glacier situated in the Himalayas. The surrounding is thickly vegetated...,https://www.holidify.com/places/manali/rahala-waterfalls-sightseeing-121064.html
34,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 35. Himalaya Nyingmapa Buddhist Temple,"Himalayan Nyingmapa Gompa is a Buddhist Monastery located in Manali and is one of the most famous monasteries situated in north India. Its religious significance is highly essential for devotees, but tourists are also drawn for its architectural beauty and tranquillity in the environment.",https://www.holidify.com/places/manali/himalaya-nyingmapa-buddhist-temple-sightseeing-121066.html
35,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 36. Manali Club House,"Club House located in Old Manali is a retreat that offers several facilities and recreational activities for tourists and is, therefore, preferred by tourists. The Club House is said to be one such place in Manali that has something for everyone whether it is indoor games/ sports, entertainment or r...",https://www.holidify.com/places/manali/manali-club-house-sightseeing-121068.html
36,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 37. Kothi Village Manali,Kothi Village is a perfect camping destination and draws tourists for adventure and recreational activities from all across the world. Most trekkers on their way to Rohtang Pass often camp at the village.,https://www.holidify.com/places/manali/kothi-sightseeing-121067.html
37,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 38. Jagatsukh,"Jagatsukh is a picturesque village, and the capital of Kullu locates about 7 kilometres away from the town of Manali. It is famous for its scenic natural landscape and the ancient Jagatsukh Temples which are religiously important shrines dedicated to Lord Shiva and Goddess Sandhya Devi.",https://www.holidify.com/places/manali/jagatsukh-sightseeing-121070.html
38,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 39. Gauri Shankar Temple,Gauri Shankar Temple is dedicated to Lord Shiva and is located in the village of Naggar in Manali. It is mostly visited by tourists and devotees of Shiva. The temple is a small structure carved out of stones but has immense historical importance in the region.,https://www.holidify.com/places/manali/gauri-shankar-temple-sightseeing-121069.html
39,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 40. Keylong,"Nestled between the Lahaul and Spiti district in the state of Himachal Pradesh, Keylong is a serene place perfect for a getaway to unwind. Due to the dry cold weather, the place does not have a lot greenery? but the snow covered mountains covered with mist are picturesque. Situated at an altitude of...",https://www.holidify.com/places/manali/keylong-sightseeing-124667.html
40,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 41. Rozy Waterfalls,"Rozy Falls is situated en-route Rohtang from Manali and is a popular tourist attraction. Enveloped in tall deodar trees, dense woods and bounteous nature, the silvery cascading water is a visual delight to the eyes and a famous picnic spot.",https://www.holidify.com/places/manali/rozy-waterfalls-sightseeing-1253334.html
41,"Manali, Himachal Pradesh - Lover's Paradise - Holidify Explorer Awards 2018 Winner", 42. Manali Winter Carnival,"The Manali Winter Carnival is Himachal Pradesh's way of welcoming the new year. It started in 1977 and had become an annual feature since then. Held in January, the Winter Carnival in Manali opens an opportunity to witness the beauty of slushy snow and enjoy the events and celebrations that it puts ...",https://www.holidify.com/places/manali/manali-winter-carnival-sightseeing-1253603.html
42,"Ooty, Tamil Nadu - Queen of the Nilgiris", 1. Nilgiri Mountain Railway,"The Toy Train, covering a distance of total 46 km in a span of 5 hours, takes one through a truly spectacular journey filled with picturesque views enroute.",https://www.holidify.com/places/ooty/toy-train-sightseeing-3102.html
43,"Ooty, Tamil Nadu - Queen of the Nilgiris", 2. Ooty Lake,"Ooty Lake is one of the most refreshing and beautiful places to visit in Ooty. It lies at a distance of approximately 2 km from Ooty city in the green hills of the Nilgiris district. The stunning lake is spread over an area of 65 acres, and its foundation was laid down by John Sullivan who was the c...",https://www.holidify.com/places/ooty/ooty-lake-sightseeing-3097.html
44,"Ooty, Tamil Nadu - Queen of the Nilgiris", 3. Ooty Rose Garden,Rose garden lies in the heart and soul of Ooty.The construction stays to be magnificent and there are small tunnels made wherein the roses are planted.,https://www.holidify.com/places/ooty/ooty-rose-garden-sightseeing-3098.html
45,"Ooty, Tamil Nadu - Queen of the Nilgiris", 4. Ooty Botanical Gardens,The botanical Gardens of Ooty are one of the most sought after and famous tourist destinations in the whole of India. It is located on the hillock of Ooty which is one of the most popular tourist destinations in India.,https://www.holidify.com/places/ooty/ooty-botanical-gardens-sightseeing-3096.html
46,"Ooty, Tamil Nadu - Queen of the Nilgiris"," 5. Thread Garden, Ooty","The thread garden at Ooty is a popular tourist spot that exhibits some of the most magnificent and exquisite collection of artificial flowers and plants, all made by the expert hands of the skilful artists by using JUST thread.",https://www.holidify.com/places/ooty/thread-garden-sightseeing-3100.html
47,"Ooty, Tamil Nadu - Queen of the Nilgiris"," 6. Emerald Lake, Ooty",Emerald lake is an exquisite lake in the upper plateau region of the Nilgiri hills. It is a part of the silent valley and is beside the Red hill nature resort which is a best picnic place of the region.,https://www.holidify.com/places/ooty/emerald-lake-sightseeing-3089.html
48,"Ooty, Tamil Nadu - Queen of the Nilgiris", 7. Trekking in Ooty,"Ooty, once the summer capital of the British in India, is bestowed with the bounty of nature. A favorite sport of the area, trekking has gained admiration with the tourists in the recent years.",https://www.holidify.com/places/ooty/trekking-sightseeing-3103.html
49,"Ooty, Tamil Nadu - Queen of the Nilgiris"," 8. Kalhatti Falls, Bellikkal",Kalhatti falls is called as 'Bird Watcher's Paradise' as it gives you a bird point view of the whole valley. The lovely beauty and calm atmosphere of the place makes it the best for spending vacations and for short trips. (br) The lake is also a very important attraction of Bellikkal which is surrou...,https://www.holidify.com/places/ooty/kalhatti-falls-bellikkal-sightseeing-3092.html
50,"Ooty, Tamil Nadu - Queen of the Nilgiris"," 9. Dolphin's Nose, Ooty","This is a unique natural site where a protruding rock looks like a dolphin's nose! Climbing up to the spot might require some effort, but it is totally worth it! From this point, one can catch the breathtaking view of the Catherine falls hundreds of meters below and also of the Coonoor stream meetin...",https://www.holidify.com/places/ooty/dolphins-nose-sightseeing-3087.html
51,"Ooty, Tamil Nadu - Queen of the Nilgiris", 10. Tiger Hill Ooty,One of the most mesmerizing destinations in Ooty is the Tiger Hill. This exotic spot lies to the east of the hill station and towards the lower end of the Doddabetta peak.,https://www.holidify.com/places/ooty/tiger-hill-sightseeing-3101.html
52,"Ooty, Tamil Nadu - Queen of the Nilgiris"," 11. Kotagiri, Coonoor",This is one of the oldest hill stations of the Nilgiris. It is a village in the middle of mind blowing tea plantations. The lush green surrounding and extremely quaint atmosphere makes Coonoor an amazing place to visit.,https://www.holidify.com/places/ooty/kotagiri-coonoor-sightseeing-3094.html
53,"Ooty, Tamil Nadu - Queen of the Nilgiris", 12. Kamraj Sagar Lake,Kamraj sagar lake is a dam and is located in the suburbs of Ooty. It is located far away at a distance between the woodlands and thus make an amazing picnic spot.,https://www.holidify.com/places/ooty/kamraj-sagar-lake-sightseeing-3093.html
54,"Ooty, Tamil Nadu - Queen of the Nilgiris", 13. Annamalai Temple,"Annamalai Temple is a situated about 20 km away from Ooty. This place has with time turned into as a famous temple of Lord Muruga, known as 7th Hill house of the lord.",https://www.holidify.com/places/ooty/annamalai-temple-sightseeing-3082.html
55,"Ooty, Tamil Nadu - Queen of the Nilgiris", 14. Doddabetta Peak,"Dodabetta, literally translating to mean - Big Peak, is located approximately 10 km away from Ooty. It towers to a staggering height of 8650 feet or 2,623 meters above the sea level and is the highest peak in the Nilgiri Hills. A treat to the eyes, this picturesque land is indeed a great sightseeing...",https://www.holidify.com/places/ooty/dodabetta-peak-sightseeing-8246.html
56,"Ooty, Tamil Nadu - Queen of the Nilgiris"," 15. Droog Fort, Coonoor","Droog Fort is located in the area surrounding Coonoor. A trekkers delight, one must undertake some by foot traveling to reach this destination. This old and worn out fort is located 6,000 ft above the plains.",https://www.holidify.com/places/coonoor/droog-fort-sightseeing-120790.html
57,"Ooty, Tamil Nadu - Queen of the Nilgiris"," 16. Lamb's Rock, Coonoor","A popular picnic spot in the region, this place is consistently visited by tourists. The view from this spot is spectacular and a major crowd puller! It is possible to see the Coonoor stream some 5000 feet below. This vantage point also provides you with an excellent view of the Coimbatore plains.",https://www.holidify.com/places/coonoor/lambs-rock-sightseeing-4436.html
58,"Ooty, Tamil Nadu - Queen of the Nilgiris"," 17. Simi's Park, Coonoor",An extremely pretty botanical garden - a rare but beautiful sight in the region - was developed back in 1874 by Mr. J.D. Sims and Major Murray. There is an annual fruit and vegetable show that is held in the park that is well attended.,https://www.holidify.com/places/coonoor/sims-park-sightseeing-4440.html
59,"Ooty, Tamil Nadu - Queen of the Nilgiris"," 18. Catherine Falls, Coonoor","Catherine Falls, also known as St. Catherine's Falls, is situated in the area that surrounds Coonoor. This magnificent waterfall falls from an impressive height of 250 feet.",https://www.holidify.com/places/kotagiri/catherine-falls-sightseeing-5050.html
60,"Ooty, Tamil Nadu - Queen of the Nilgiris", 19. Upper Bhavani Lake,"The Upper Bhavani Lake is a mesmerising and breathtaking lake that is located above the Avalanche Area in the Nilgiri Hills. This beautiful lake, which was previously ignored and consequently unexplored, is now gaining some popularity and credit for its charming beauty and picturesque scenes.",https://www.holidify.com/places/ooty/upper-bhavani-lake-sightseeing-12045.html
61,"Ooty, Tamil Nadu - Queen of the Nilgiris"," 20. Bison Valley, Bellikkal",Bison Valley gained its name from the Indian bison that roams throughout this area. Splendid views of the cardamom forests and momentous possible from this beautiful valley.,https://www.holidify.com/places/ooty/bison-valley-bellikkal-sightseeing-3084.html
62,"Ooty, Tamil Nadu - Queen of the Nilgiris", 21. Avalanche Lake,"The Avalanche Lake in the Nilgiris District of Tamil Nadu is a famous tourist spot. Especially renowned among nature enthusiasts and photographers, the lake is set amidst a captivating landscape which is filled with lovely flowers. The waterfalls that fall down the nearby mountains further add to th...",https://www.holidify.com/places/ooty/avalanche-lake-sightseeing-12048.html
63,"Ooty, Tamil Nadu - Queen of the Nilgiris", 22. St Stephen's Church Ooty,The St. Stephen's Church in Ooty is indeed a marvellous and breathtaking architectural marvel located on the road to Mysore in Ooty. It is one of the earliest churches that you will find in the Nilgiris district. The structure dates back to the 19th century and was built by the British government.,https://www.holidify.com/places/ooty/st-stephens-church-sightseeing-12046.html
64,"Ooty, Tamil Nadu - Queen of the Nilgiris", 23. Pykara Lake,"Pykara Lake has everything that a person on vacation can ask for, right from ambience and comfort to scenic beauty. Nature lovers, photographers and adventure seekers should definitely not miss out on this unique and fun-filled place.",https://www.holidify.com/places/ooty/pykara-lake-sightseeing-12049.html
65,"Ooty, Tamil Nadu - Queen of the Nilgiris", 24. Wenlock Downs,"Wenlock Downs is a famous picnic spot in the outskirts of Ooty. People seeking a spot to escape the polluted environment and the world of concrete often head to this attraction. At Wenlock Downs, they find a vast expanse of lush green meadow over the natural landscape with rolling mountains all cove...",https://www.holidify.com/places/ooty/shooting-point-wenlock-downs-sightseeing-122942.html
66,"Ooty, Tamil Nadu - Queen of the Nilgiris", 25. Thunder World,"Thunder World is a themed amusement park in Ooty. Also known as Dinosaur Park, it is famous amongst the young and the old who visit to get a feel of going back into the past and experiencing illusions or witnessing the world of spirits. The park is divided into themed sections – the Jurassic Jungle,...",https://www.holidify.com/places/ooty/thunder-world-sightseeing-122944.html
67,"Ooty, Tamil Nadu - Queen of the Nilgiris", 26. Ketti Valley View,"Located at a distance of 4 kms from the Ooty Bus Stand on the Ooty Coonoor road, Ketti Valley View is a popular vantage point in Ooty. Boasting of utter tranquility and surreal setting, the place offers mesmerising views of the resplendent valley below with gushing waterfalls, meandering streams and...",https://www.holidify.com/places/ooty/ketti-valley-view-sightseeing-122943.html
68,"Ooty, Tamil Nadu - Queen of the Nilgiris", 27. Cairn Hill,"Situated in the hill town of Ooty, Cairn Hill is an eco- tourism and a reserved forest site which came into existence in the 1860s and sprawls over a massive area of approx 168 hectares. Considered to be the land of one of the oldest and most massive cyprus plantations in the Nilgiris, the beautiful...",https://www.holidify.com/places/ooty/cairn-hill-sightseeing-122945.html
69,"Ooty, Tamil Nadu - Queen of the Nilgiris", 28. Adam's Fountain,"Adam's Fountain is a gorgeous fountain situated at the Charring Cross junction in Ooty. The fountain was built in 1886 as a memorial to the then Governor of Ooty. The cost of the total construction was between INR 13,000 and INR 14,000 and was collected through public funding. It is a very important...",https://www.holidify.com/places/ooty/adams-fountain-sightseeing-122947.html
70,"Ooty, Tamil Nadu - Queen of the Nilgiris", 29. Elk Hill Murugan Temple,"Perched atop the Elk Hill in Ooty, amidst picturesque backdrop and a resplendent setting, Elk Murugan Temple is a revered Hindu temple enshrined by Lord Muruga. Besides the gorgeous landscape and astounding panoramic vistas, the hill also boasts of a rich and flourishing wildlife and bounteous natur...",https://www.holidify.com/places/ooty/elk-hill-murugan-temple-sightseeing-122946.html
71,"Ooty, Tamil Nadu - Queen of the Nilgiris", 30. Wax Museum Ooty,"Located at a distance of just 1 km from the Ooty Railway Station, the Ooty Wax Museum is one of the top places to visit of the place and is housed in a 130 years old charming colonial mansion. Conceptualized by an IT professional who goes by the name of Shreeji Bhaskaran; the wax museum was construc...",https://www.holidify.com/places/ooty/wax-museum-sightseeing-122949.html
72,"Ooty, Tamil Nadu - Queen of the Nilgiris", 31. Kandal Cross Shrine,"Situated on the outskirts of Ooty, Kandal Cross Shrine is a beautiful church popularly known as the Jerusalem of the East. The church houses a life size bronze crucifix and a relic in a small glass case which is believed to be from the original cross that Christ carried. Sacred prayers are offered e...",https://www.holidify.com/places/ooty/kandal-cross-shrine-sightseeing-122948.html
73,"Ooty, Tamil Nadu - Queen of the Nilgiris", 32. Stone House Ooty,"Stone House in Ooty is famous for being the first bungalow in the town. Also known as Kal Bangala in Tamil, it was built in the early 19th century by John Sullivan, an Englishman, the first Collector of Udhagamandalam and the founder of the British Settlement in Ooty. The land where the stone house ...",https://www.holidify.com/places/ooty/stone-house-sightseeing-122950.html
74,"Ooty, Tamil Nadu - Queen of the Nilgiris", 33. Government Museum,"The Government Museum in Ooty was built in 1989 to maintain and promote the culture of Ooty in the form of exhibits and information. The attraction houses an extensive collection of the culture, history, the tribes, tribal objects, sculptures, paintings, handicrafts, nature and the ecology of Udhaga...",https://www.holidify.com/places/ooty/government-museum-sightseeing-122951.html
75,"Ooty, Tamil Nadu - Queen of the Nilgiris", 34. Pykara Falls,"Situated at a distance of 23 kms from Ooty, Pykara Falls is a beautiful waterfall cascading down at a height of 55 m and 61 m in multiple layers. Especially popular among young couples and honeymooners, the waterfall is a pure visual delight.",https://www.holidify.com/places/ooty/pykara-falls-sightseeing-125173.html
76,"Ooty, Tamil Nadu - Queen of the Nilgiris", 35. Children's Park,"Children's' Park in Ooty is one of the most prominent and popular parks of the city. Blanketted in a lush green grassy carpet, the park has several rides and swings for children. In addition to that, the park also facilitates boating, rowing and horse riding etc as recreational activities.",https://www.holidify.com/places/ooty/childrens-park-sightseeing-125229.html
77,"Ooty, Tamil Nadu - Queen of the Nilgiris", 36. Lake Park Ooty,"Lake Park in Ooty is situated adjacent to the Ooty Lake. Adorned with vibrant flowers and a glossy green carpet, the park is a hot spot for leisure evenings and sunbathing. It also has dinosaur statues and entertaining games for kids.",https://www.holidify.com/places/ooty/lake-park-sightseeing-125230.html
78,"Ooty, Tamil Nadu - Queen of the Nilgiris", 37. Katari Falls,"Known to be the third highest waterfalls in the Nilgiris, the mesmerising Katari Falls is situated at Adikarratti in Ooty, 10 kms from Coonoor. Boasting of a magnificent height of 180 m, the silvery water gushing down to form a pool at the base is also a popular picnic spot in the region. It was the...",https://www.holidify.com/places/ooty/katari-falls-sightseeing-125330.html
79,"Ooty, Tamil Nadu - Queen of the Nilgiris", 38. Halashana Falls,The very beautiful and mesmerising Halashana Waterfalls are located in the Nilgiris near the cities of both Ooty and Coonoor. The silvery water falls down a height of 150 feet above the sea level. The area around the falls is owned by a private estate.,https://www.holidify.com/places/ooty/halashana-falls-sightseeing-125331.html
